character_id,display_name_zh
C011,鸿上滉
C226,唐红
C227,宇津都
C228,伊吕波
C261,朝日奈雅臣
C262,朝日奈右京
C263,朝日奈要
C264,朝日奈光
C265,朝日奈椿
C266,朝日奈梓
C267,朝日奈枣
C268,朝日奈琉生
C269,朝日奈昴
C270,朝日奈祈织
C271,朝日奈侑介
C272,朝日奈风斗
C273,朝日奈弥
C284,犹月
C285,诺亚
C286,维吉尔
C287,奏太
C288,舒里
C289,米兰
C290,杰诺
C291,菲利克斯
C292,罗伦佐
C120,阿尔弗雷德·克雷斯韦尔
C121,卢卡斯·沙利文
C122,亚斯科特·林德尔
C123,约翰
C124,莱纳斯·沃德
C125,爱德华·伯恩斯坦
C240,月下丸
C241,黑雪
C242,百地蝶治郎
C243,石川五右卫门
C244,服部半藏
C009,伊孚
C010,阿道夫
C014,因倍·巴比康
C024,艾伦·梅尔维尔
C032,马蒂斯·克洛德
C034,玄叶
C035,维克多·弗兰肯斯坦
C036,平教经
C038,璐卡·普鲁斯特
C040,萤彩院·F·琉辉
C041,谢尔比·斯内尔
C042,但丁·法尔宗
C043,圣·日耳曼
C044,天草四郎时贞
C045,吉尔·洛夫克拉夫特
C047,席安·布洛菲沃思
C048,亚伯拉罕·凡赫辛
C049,平知盛
C051,安库
C052,劳尔·阿科尼特
C053,璃空
C054,黛汐音
C055,八神那由太
C056,石动大我
C057,织卷寿寿
C058,睦实介
C059,高科更文
C060,比良
C061,白月
C062,诺埃尔·瓦尔莫
C063,埃斯特·里纳乌多
C064,阿尔贝罗·加雷
C065,仙杜瑞拉
C066,小红帽
C067,鹈饲昌吾
C068,汀紫鹤
C069,姬空木
C070,蛟
C071,加纳理一郎
C072,英圆
C073,西园寺寅之助
C074,菱田春草
C075,森鸥外
C076,小泉八云
C077,五月女光基
C078,多井中法
C079,亚森·鲁邦
C080,白石景之
C081,彼得·弗拉修
C082,朱砂
C083,火向
C084,奥罗克
C085,秋月香羊
C086,水镜星绊
C087,魅奈美
C088,圣夜
C089,幸麿
C090,狐春
C092,亨利·兰伯特
C093,梅雷尼斯·莱文
C098,武藏坊弁庆
C099,春玄
C100,源赖朝
C101,佐藤忠信
C102,佐藤继信
C104,佐佐木高纲
C139,细波艾斯
C140,弓仓音时
C141,神里晓
C142,指乃朱理
C143,约瑟菲
C144,阿德尔
C145,托比亚斯
C319,斯波纯一
C320,野宫瑞人
C321,藤田均
C322,尾崎秀雄
C105,明瀨境也
C106,萬城燈星
C107,茅裂鎮
C108,陀宰明
C109,獲端圭人
C110,雙巳椋一
C111,凝部奏汰
C112,廢寺拓海
C113,射落水樹
C114,斐伊
C115,洛欧
C116,臧布尼勒
C117,玖燕来
C118,胡青凛
C119,羯磨
C154,结贺驱
C155,市之濑千里
C156,远矢正宗
C157,吾妻夏彦
C158,二条朔也
C159,加贺见一月
C160,宿吏晓人
C161,室星朗
C162,乙丸平士
C186,Hino Kagutsuchi
C187,Isora Amari
