character_id,annotation_status,annotation_source,merge_note,annotation_tier,review_mode,confidence_summary,exception_count
C001,human_reviewed,pilot,supersedes_characters_v2_demo_same_id,,,,
C002,human_reviewed,pilot,supersedes_characters_v2_demo_same_id,,,,
C003,human_reviewed,pilot,supersedes_characters_v2_demo_same_id,,,,
C004,human_reviewed,pilot,pilot_only,,,,
C005,human_reviewed,pilot,pilot_only,,,,
C006,human_reviewed,pilot,pilot_only,,,,
C007,human_reviewed,pilot,pilot_only,,,,
C009,human_reviewed,pilot,pilot_only,,,,
C010,human_reviewed,pilot,pilot_only,,,,
C011,human_reviewed,pilot,pilot_only,,,,
C012,human_reviewed,pilot,pilot_only,,,,
C013,human_reviewed,pilot,pilot_only,,,,
C014,human_reviewed,expansion_batch_1,expansion_batch_1,,,,
C015,human_reviewed,expansion_batch_1,expansion_batch_1,,,,
C016,human_reviewed,expansion_batch_1,expansion_batch_1,,,,
C017,human_reviewed,expansion_batch_1,expansion_batch_1,,,,
C018,human_reviewed,expansion_batch_1,expansion_batch_1,,,,
C019,human_reviewed,expansion_batch_2,expansion_batch_2,,,,
C020,human_reviewed,expansion_batch_2,expansion_batch_2,,,,
C021,human_reviewed,expansion_batch_2,expansion_batch_2,,,,
C022,human_reviewed,expansion_batch_2,expansion_batch_2,,,,
C023,human_reviewed,expansion_batch_2,expansion_batch_2,,,,
C024,human_reviewed,expansion_batch_3,expansion_batch_3,,,,
C025,human_reviewed,expansion_batch_3,expansion_batch_3,,,,
C026,human_reviewed,expansion_batch_3,expansion_batch_3,,,,
C027,human_reviewed,expansion_batch_3,expansion_batch_3,,,,
C028,human_reviewed,expansion_batch_4,expansion_batch_4,,,,
C029,human_reviewed,expansion_batch_4,expansion_batch_4,,,,
C030,human_reviewed,expansion_batch_4,expansion_batch_4,,,,
C031,human_reviewed,expansion_batch_4,expansion_batch_4,,,,
C032,human_reviewed_gold,bulk_v3_2_batch_01,bulk_final_write,A,gold_manual,A:4;B:16;C:0;NA:0,0
C033,human_reviewed_gold,bulk_v3_2_batch_01,bulk_final_write,A,gold_manual,A:20;B:0;C:0;NA:0,0
C034,reviewed_lite,bulk_v3_2_batch_01,bulk_final_write,B,exception_only,A:2;B:18;C:0;NA:0,0
C035,reviewed_lite,bulk_v3_2_batch_01,bulk_final_write,B,exception_only,A:6;B:14;C:0;NA:0,0
C036,candidate_only,bulk_v3_2_batch_01,bulk_final_write,C,automated_qa,A:0;B:20;C:0;NA:0,0
C037,human_reviewed_gold,bulk_v3_2_batch_01,bulk_final_write,A,gold_manual,A:20;B:0;C:0;NA:0,0
C038,reviewed_lite,bulk_v3_2_batch_01,bulk_final_write,B,exception_only,A:3;B:17;C:0;NA:0,0
C039,reviewed_lite,bulk_v3_2_batch_01,bulk_final_write,B,exception_only,A:20;B:0;C:0;NA:0,0
C040,human_reviewed_gold,bulk_v3_2_batch_01,bulk_final_write,A,gold_manual,A:20;B:0;C:0;NA:0,0
C041,candidate_only,bulk_v3_2_batch_01,bulk_final_write,C,automated_qa,A:0;B:20;C:0;NA:0,0
C042,human_reviewed_gold,bulk_v3_2_batch_01,bulk_final_write,A,gold_manual,A:20;B:0;C:0;NA:0,0
