reviewer,set_id,set_kind,variant,selected_ids,selected_characters,target_id,positive_target,rank,raw_match,adjusted_match,candidate_pool_percentile,top_pool_percent,top5_spread,core_xp_match,best_multi_character_branch_match,hidden_singleton_branch_match,branch_base_rank,multi_branch_rank,branch_final_rank,branch_rerank_bonus
aoko,aoko_set_01,cohesive,Baseline,C024;C015;C005,Allan Melville;Tyril I Lister;杨,C019,缘,1,68.49699253113923,67.95459326073563,100.0,3.7037037037037037,7.388226047627171,70.22,70.22,,1,1,1,0.3274
aoko,aoko_set_01,cohesive,Experiment A,C024;C015;C005,Allan Melville;Tyril I Lister;杨,C019,缘,1,69.60151895030052,69.23331109604763,100.0,3.7037037037037037,8.554670158493103,70.22,70.22,,1,1,1,0.3274
aoko,aoko_set_01,cohesive,Experiment B,C024;C015;C005,Allan Melville;Tyril I Lister;杨,C019,缘,1,68.46580278267113,67.93516371033267,100.0,3.7037037037037037,6.79044237127016,70.22,70.22,,1,1,1,0.3274
aoko,aoko_set_01,cohesive,Experiment C,C024;C015;C005,Allan Melville;Tyril I Lister;杨,C019,缘,1,69.61254330504885,69.2541497368058,100.0,3.7037037037037037,7.922450054081274,70.22,70.22,,1,1,1,0.3274
aoko,aoko_set_01,cohesive,Baseline,C019;C015;C005,缘;Tyril I Lister;杨,C024,Allan Melville,3,63.23705201518105,63.073499092266395,92.3076923076923,11.11111111111111,5.925615516389065,65.14,65.14,,2,2,1,0.4227
aoko,aoko_set_01,cohesive,Experiment A,C019;C015;C005,缘;Tyril I Lister;杨,C024,Allan Melville,3,64.06647397784752,63.95083035525393,92.3076923076923,11.11111111111111,6.348597174003281,65.14,65.14,,2,2,1,0.4227
aoko,aoko_set_01,cohesive,Experiment B,C019;C015;C005,缘;Tyril I Lister;杨,C024,Allan Melville,2,63.917483059039505,63.75430418689786,96.15384615384616,7.407407407407407,6.508287166601086,65.14,65.14,,2,2,1,0.4227
aoko,aoko_set_01,cohesive,Experiment C,C019;C015;C005,缘;Tyril I Lister;杨,C024,Allan Melville,2,64.79050888860424,64.67350945086167,96.15384615384616,7.407407407407407,6.825727638392571,65.14,65.14,,2,2,1,0.4227
aoko,aoko_set_01,cohesive,Baseline,C019;C024;C005,缘;Allan Melville;杨,C015,Tyril I Lister,9,58.321910572735256,55.561611093568594,69.23076923076923,33.333333333333336,3.7480325653763984,55.57,55.57,,10,10,10,0.0
aoko,aoko_set_01,cohesive,Experiment A,C019;C024;C005,缘;Allan Melville;杨,C015,Tyril I Lister,11,57.2065032395886,55.595891260421936,61.53846153846154,40.74074074074074,3.5863274557700535,55.57,55.57,,10,10,10,0.0
aoko,aoko_set_01,cohesive,Experiment B,C019;C024;C005,缘;Allan Melville;杨,C015,Tyril I Lister,11,57.613599936537454,54.81009069607793,61.53846153846154,40.74074074074074,2.9501081115710477,55.57,55.57,,10,10,10,0.0
aoko,aoko_set_01,cohesive,Experiment C,C019;C024;C005,缘;Allan Melville;杨,C015,Tyril I Lister,12,56.37529357186154,54.731062499764384,57.69230769230769,44.44444444444444,3.4701515239477345,55.57,55.57,,10,10,10,0.0
aoko,aoko_set_01,cohesive,Baseline,C019;C024;C015,缘;Allan Melville;Tyril I Lister,C005,杨,14,54.45121354861418,54.806945347545934,50.0,51.851851851851855,2.931401034560899,56.75,56.75,,13,13,12,0.5109
aoko,aoko_set_01,cohesive,Experiment A,C019;C024;C015,缘;Allan Melville;Tyril I Lister,C005,杨,14,55.2734677870964,55.54449422174247,50.0,51.851851851851855,3.9072384139629364,56.75,56.75,,13,13,12,0.5109
aoko,aoko_set_01,cohesive,Experiment B,C019;C024;C015,缘;Allan Melville;Tyril I Lister,C005,杨,14,54.58825968142169,54.92221590257388,50.0,51.851851851851855,2.8067228842907,56.75,56.75,,13,13,12,0.5109
aoko,aoko_set_01,cohesive,Experiment C,C019;C024;C015,缘;Allan Melville;Tyril I Lister,C005,杨,14,55.360659173719654,55.61485615830355,50.0,51.851851851851855,2.828641458449134,56.75,56.75,,13,13,12,0.5109
aoko,aoko_set_02,cohesive,Baseline,C014;C021;C015,Impey Barbicane;Vilio;Tyril I Lister,C001,柳爱时,11,55.53225449061699,57.77909262531892,61.53846153846154,40.74074074074074,9.297780811629096,57.8,59.16,,11,9,11,0.0
aoko,aoko_set_02,cohesive,Experiment A,C014;C021;C015,Impey Barbicane;Vilio;Tyril I Lister,C001,柳爱时,9,57.73268982432367,59.41302183402559,69.23076923076923,33.333333333333336,8.8146593653791,57.8,59.16,,11,9,11,0.0
aoko,aoko_set_02,cohesive,Experiment B,C014;C021;C015,Impey Barbicane;Vilio;Tyril I Lister,C001,柳爱时,12,55.295515947933346,57.56106879709253,57.69230769230769,44.44444444444444,7.791802754411343,57.8,59.16,,11,9,11,0.0
aoko,aoko_set_02,cohesive,Experiment C,C014;C021;C015,Impey Barbicane;Vilio;Tyril I Lister,C001,柳爱时,12,57.49295020437317,59.18251724103235,57.69230769230769,44.44444444444444,7.216338354617932,57.8,59.16,,11,9,11,0.0
aoko,aoko_set_02,cohesive,Baseline,C001;C021;C015,柳爱时;Vilio;Tyril I Lister,C014,Impey Barbicane,9,56.73970496170425,58.79251411739769,69.23076923076923,33.333333333333336,6.209159715057048,58.82,58.82,,12,12,12,1.0102
aoko,aoko_set_02,cohesive,Experiment A,C001;C021;C015,柳爱时;Vilio;Tyril I Lister,C014,Impey Barbicane,9,58.984313537662246,60.426820412105684,69.23076923076923,33.333333333333336,5.413400207703013,58.82,58.82,,12,12,12,1.0102
