source_series,display_title
7'scarlet,七罪绯红
ニル・アドミラリの天秤,冷然之天秤
SympathyKiss 共鸣之吻,共鸣之吻
SympathyKiss,共鸣之吻
薄樱鬼 真改,薄樱鬼
Code:Realize,Code:Realize
Code:Realize ～创世的姬君～,Code:Realize
AMNESIA,失忆症
AMNESIA: Memories,失忆症
失忆症,失忆症
冷然之天秤,冷然之天秤
冷然之天秤 帝都幻惑绮谭,冷然之天秤
冷然之天秤 黑百合炎阳谭,冷然之天秤
大正对称爱丽丝 episode I,大正×对称爱丽丝
大正×对称爱丽丝 all in one,大正×对称爱丽丝
Wand of Fortune R,幸运之杖
Wand of Fortune R2,幸运之杖
CLOCK ZERO,CLOCK ZERO
CLOCK ZERO ～终焉之一秒～,CLOCK ZERO
花合朔 -姬空木篇-,花合朔
花合朔 -蛟篇-,花合朔
花合朔 Complete Collection,花合朔
毘卢遮那战姬,毘卢遮那战姬
毘卢遮那战姬 ～源平飞花梦想～,毘卢遮那战姬
虔诚之花的晚钟,虔诚之花的晚钟
虔诚之花的晚钟 -ricordo-,虔诚之花的晚钟
Variable Barricade,百密一疏少女心
百密一疏少女心,百密一疏少女心
Cupid Parasite,共生丘比特
共生丘比特,共生丘比特
共生丘比特 -Sweet & Spicy Darling.-,共生丘比特
毘卢遮那战姬 ～一树之风～,毘卢遮那战姬
绚烂传说马戏团 -A Fanfare!-,绚烂传说马戏团
虔诚之花的晚钟 -Episodio1926-,虔诚之花的晚钟
蝶之毒 華之鎖,蝶之毒 华之锁
DIABOLIK LOVERS GRAND EDITION,魔鬼恋人
BROTHERS CONFLICT Precious Baby,兄弟战争
BROTHERS CONFLICT Brilliant Blue,兄弟战争
BROTHERS CONFLICT,兄弟战争
NORN9 LAST ERA,NORN9 命运九重奏
Period Cube ～鸟笼的阿玛迪斯～,Period Cube
终远的威尔修 -ErroR:salvation-,终远的威尔修
终远的威尔修 -EpiC:lycoris-,终远的威尔修
终远的威尔修,终远的威尔修
十三支演义 偃月三国传 1・2,十三支演义
歌之王子殿下 Repeat LOVE,歌之王子殿下
Steam Prison,蒸汽监狱
